MN,HD,HR,HIP,Name,OtherDesignations,ProperName,Bayer,Flamsteed,Constellation,RAJ2000,DecJ2000,pmRA,pmDec,RadVel,Parallax,Vmag,B-V,SpType,IsMultiple,IsVariable,UpdateName
4272,32393,1625,0,HD 32393,HD 32393/HR 1625,,,,,75.68958333333333,-4.209722222222222,55.0,16.0,38.0,,5.85,1.21,K3,0.0,0.0,
4273,46590,2402,31665,11 Lyn,11 Lyn/HD 46590/HR 2402,,,11 Lyn,Lyn,99.41041666666668,56.8575,0.0,12.0,0.0,,5.85,,A2V,0.0,0.0,
4274,49606,2519,32753,33 Gem,33 Gem/HD 49606/HR 2519/J 2028,,,33 Gem,Gem,102.4575,16.202777777777776,-17.0,-12.0,13.0,,5.85,-0.13,B7III,0.0,1.0,
4275,55052,2706,34819,48 Gem,48 Gem/HD 55052/HR 2706,,,48 Gem,Gem,108.11,24.12833333333333,-22.0,-48.0,13.0,,5.85,0.36,F5III-IV,0.0,0.0,
4276,57197,2789,35347,M Pup,HD 57197/HR 2789/M Pup,,,,Pup,109.5175,-43.986666666666665,-15.0,1.0,13.0,,5.85,-0.12,B8II-III,0.0,0.0,
4277,60345,2900,0,HD 60345,HD 60345/HR 2900,,,,,113.29041666666669,-24.710833333333333,-10.0,13.0,15.0,,5.85,0.17,A7V:,0.0,0.0,
4278,68077,3200,0,HD 68077,HD 68077/HR 3200,,,,,123.45916666666666,56.45222222222223,-22.0,-33.0,7.0,,5.85,1.01,G9III,0.0,0.0,
4279,71043,3300,41081,SHY 525,HD 71043/HR 3300/SHY 525,,,,,125.73,-52.12388888888889,-10.0,8.0,3.0,,5.85,0.01,A0V,0.0,0.0,
4280,77445,3599,0,HD 77445,HD 77445/HR 3599,,,,,135.68666666666667,7.298055555555555,-16.0,-5.0,27.0,,5.85,1.11,gK3,0.0,0.0,
4281,79694,3672,0,HD 79694,HD 79694/HR 3672,,,,,138.53416666666666,-44.145833333333336,-19.0,14.0,22.0,,5.85,-0.12,B5/6IV/V,0.0,1.0,
4282,82232,3772,0,HD 82232,HD 82232/HR 3772,,,,,142.59416666666667,-15.577222222222222,-66.0,-63.0,24.0,,5.85,1.2,gK3,0.0,0.0,
4283,82087,3764,46652,7 LMi,7 LMi/HD 82087/HJ 1166/HR 3764,,,7 LMi,LMi,142.68,33.65555555555555,-20.0,-49.0,2.0,,5.85,1.05,gG8,0.0,0.0,
4284,86080,3926,48734,10 Sex,10 Sex/HD 86080/HR 3926,,,10 Sex,Sex,149.10833333333332,8.933055555555555,-85.0,18.0,9.0,11.0,5.85,1.13,gK2,0.0,0.0,
4285,88231,3993,0,HD 88231,HD 88231/HR 3993,,,,,152.80333333333334,37.401944444444446,-21.0,-31.0,9.0,,5.85,1.29,gK3,0.0,1.0,
4286,92168,4168,52139,38 LMi,38 LMi/HD 92168/HR 4168,,,38 LMi,LMi,159.78166666666667,37.91,-222.0,-44.0,7.0,38.0,5.85,0.57,F9V,0.0,0.0,
4287,103026,4548,0,HD 103026,HD 103026/HR 4548,,,,,177.92333333333332,-30.835,-10.0,-295.0,33.0,19.0,5.85,0.56,F7V,0.0,0.0,
4288,106251,4650,59608,12 Vir,12 Vir/HD 106251/HR 4650,,,12 Vir,Vir,183.35791666666665,10.262222222222222,-91.0,-10.0,2.0,,5.85,0.27,A2m,0.0,0.0,
4289,109519,4793,0,HD 109519,HD 109519/HR 4793,,,,,188.78375,21.88138888888889,14.0,-19.0,-14.0,,5.85,1.22,K1III,0.0,0.0,
4290,111456,4867,62512,SHY 66,HD 111456/HR 4867/MET 61/SHY 66/YSC 46,,,,,192.1641666666667,60.32,105.0,1.0,-12.0,41.0,5.85,0.46,F5V,0.0,0.0,
4291,112014,4892,0,HD 112014,HD 112014/HR 4892,,,,,192.2775,83.41805555555555,-26.0,22.0,1.0,1.0,5.85,-0.06,A0V+A2V,1.0,0.0,
4292,114533,4976,0,HD 114533,HD 114533/HR 4976,,,,,198.57166666666663,-78.44722222222222,-18.0,4.0,-18.0,,5.85,1.07,F8Ib,0.0,0.0,
4293,119476,5162,0,HD 119476,HD 119476/HR 5162,,,,,205.37458333333333,64.82249999999999,54.0,-12.0,-6.0,,5.85,0.07,A2V,0.0,0.0,
4294,126241,5391,0,HD 126241,HD 126241/HR 5391,,,,,216.7795833333333,-65.82166666666666,-18.0,-13.0,-20.0,,5.85,1.5,K3III,0.0,0.0,
4295,128998,5467,0,HD 128998,HD 128998/HR 5467,,,,,219.5633333333333,54.02333333333333,18.0,-16.0,-3.0,,5.85,-0.01,A1V,0.0,0.0,
4296,130948,5534,72567,POT 1,HD 130948/HR 5534/POT 1,,,,,222.56583333333333,23.911944444444444,143.0,34.0,-2.0,69.0,5.85,0.56,G0-2V,0.0,0.0,
4297,132851,5591,73566,60 Hya,60 Hya/HD 132851/HR 5591,,,60 Hya,Hya,225.52666666666664,-28.06055555555556,85.0,-29.0,8.0,,5.85,0.16,A4IV,0.0,0.0,
4298,133937,5625,74100,SHT 58,HD 133937/HR 5625/SHT 58,,,,,227.16291666666663,-42.867777777777775,-27.0,-18.0,1.0,,5.85,-0.11,B7V,0.0,0.0,
