HD,HR,HIP,Name,OtherDesignations,ProperName,Bayer,Flamsteed,Constellation,RAJ2000,DecJ2000,Vmag,IsMultiple,UpdateName
84179,3865,47911,28 UMa,28 UMa/KUI 43,,,28 UMa,UMa,,,,0.0,
85123,3890,48002,υ Car,HD 85123/HD 85124/HIP 48002/HR 3890/HR 3891/RMK 11/SAO 250695/SAO 250696/υ Car/υ Car A/υ Car B,,υ Car,,Car,,,,1.0,
84722,3880,48029,19 Leo,19 Leo/MCA 34/RBR 39,,,19 Leo,Leo,,,,0.0,
0,0,48044,SKF 1843,LSC 123/SKF 1843,,,,,,,,0.0,
85043,0,48125,TOK 532,I 205/TOK 532,,,,,,,,0.0,
85040,3889,48218,20 Leo,20 Leo/FYM 626/KUI 44,,,20 Leo,Leo,,,,0.0,
85355,3898,48224,u Vel,HJ 4254/u Vel,,,,,,,,0.0,
85217,3893,48273,4 Sex,4 Sex/LEP 9001,,,4 Sex,Sex,,,,0.0,
85259,0,48298,21 Leo,21 Leo/J 389,,,21 Leo,Leo,,,,0.0,
85177,0,48337,CRJ 6,CRJ 6/HO 369,,,,,,,,0.0,
85362,0,48372,Lβ 13,DAM 14/Lβ 13,,,,,,,,0.0,
85442,0,48406,SE 5,SE 5/Σ 1390,,,,,,,,0.0,
85762,0,48552,9 Sex,9 Sex/S 605,,,9 Sex,Sex,,,,0.0,
86018,0,48625,RSS 219,DAM 724/RSS 219,,,,,,,,0.0,
86440,3940,48774,φ Vel,I 396/φ Vel,,φ Vel,,Vel,,,,0.0,
86369,3938,48876,11 Sex,11 Sex/OCC 817,,,11 Sex,Sex,,,,0.0,
86419,0,48911,STU 24,H 5 63/STU 24,,,,,,,,0.0,
86629,3947,48926,η Ant,HJ 4271/η Ant,,η Ant,,Ant,,,,0.0,
87030,3953,49052,HDS 1444,HDS 1444/φ 153,,,,,,,,0.0,
86728,3951,49081,20 LMi,20 LMi/RAG 7,,,20 LMi,LMi,,,,0.0,
87122,0,49092,HDO 209,HDO 209/HDS 1446,,,,,,,,0.0,
86871,0,49224,HJ 2515,HDS 1450/HJ 2515,,,,,,,,0.0,
86677,0,49230,ODE 7,ODE 7/Σ 1400,,,,,,,,0.0,
87344,3963,49321,SHJ 110,SHJ 110/β 1072,,,,,,,,0.0,
87301,3961,49329,13 Sex,13 Sex/GWP 1283,,,13 Sex,Sex,,,,0.0,
87194,0,49382,GIR 2,GIR 2/Σ 1402,,,,,,,,0.0,
88948,0,49442,TOK 396,HJ 4310/TOK 396,,,,,,,,0.0,
87014,0,49495,LSC 124,LSC 124/MLR 422,,,,,,,,0.0,
87635,0,49496,DAM 2007,DAM 2007/OCC 259,,,,,,,,0.0,
87743,0,49520,TOK 66,S 607/TOK 66,,,,,,,,0.0,
87646,0,49522,HDS 1457,BAG 23/HDS 1457,,,,,,,,0.0,
87682,3973,49530,14 Sex,14 Sex/CHR 30,,,14 Sex,Sex,,,,0.0,
87837,3980,49637,31 Leo,31 Leo/GAN 5,,,31 Leo,Leo,,,,0.0,
87822,3979,49658,HJ 475,HJ 475/KUI 48,,,,,,,,0.0,
88206,3990,49712,Q Vel,OUD 5/Q Vel,,,,,,,,0.0,
88048,0,49739,16 Sex,16 Sex/OCC 831,,,16 Sex,Sex,,,,0.0,
88473,4002,49764,I 13,HJ 4295/I 13,,,,,,,,0.0,
88195,3989,49812,17 Sex,17 Sex/CHR 177,,,17 Sex,Sex,,,,0.0,
88315,0,49880,DAM 2106,DAM 2106/OCC 439,,,,,,,,0.0,
88230,0,49908,β pm 130,ENG 42/β pm 130,,β pm 130,,,,,,0.0,
88355,3998,49929,34 Leo,34 Leo/HU 874,,,34 Leo,Leo,,,,0.0,
88714,0,50010,SIN 48,B 2232/SIN 48,,,,,,,,0.0,
88845,0,50018,RST 478,DAM 796/RST 478,,,,,,,,0.0,
