;MN;HD;HR;HIP;Gl;Name;OtherDesignations;ProperName;Bayer;Flamsteed;Constellation;RAJ2000;DecJ2000;pmRA;pmDec;RadVel;Distance;Vmag;Vmag_min;Vmag_max;B-V;SpType;Luminosity;XJ2000;YJ2000;ZJ2000;VXJ2000;VYJ2000;VZJ2000;Primary;MultipleID;IsMultiple;IsVariable
119503;119504;0;0;0;GJ 3622;GJ 3622;GJ 3622/HYG 118702/MN 119504;;;;Sex;10,803471;-11,336727;601,06;-1525,88;-7,0;4,5249;15,6;;;2,1;M6,5;1,02612436519e-05;-4,220385;1,367034;-0,889411;-3,142e-05;-1,673e-05;8,86e-06;118707;;0;0
89025;89026;0;0;86162;Gl 687;HIP 86162;Gl 687/HIP 86162/HYG 85898/MN 89026;;;;Dra;17,607283;68,339141;-320,47;-1269,55;-23,2;4,5282;9,15;;;1,505;M3,5Vvar;0,003908408957924;-0,171572;-1,662506;4,208248;-3,234e-05;-1,633e-05;-8,76e-06;85899;;0;0
96055;96056;0;0;85523;Gl 674;HIP 85523;Gl 674/HIP 85523/HYG 85263/MN 96056;;;;Ara;17,47772;-46,89519;573,32;-879,84;-10,2;4,5405;9,38;;;1,553;K5;0,0031798014276915;-0,422874;-3,073668;-3,314975;-5,62e-06;1,935e-05;1,54e-05;85264;;0;0
116973;116974;0;0;57367;Gl 440;HIP 57367;Gl 440/HIP 57367/HYG 57193/MN 116974;;;;Mus;11,761338;-64,841517;2665,17;-346,83;0,0;4,6081;11,5;11,575;11,405;0,196;DC:;0,0004647292416762;-1,955207;0,122023;-4,170954;-3,29e-06;-5,986e-05;3,27e-06;57194;;0;1
109881;109882;0;0;113020;Gl 876;HIP 113020;Gl 876/HIP 113020/HYG 112659/MN 109882;;;;Aqr;22,887977;-14,263701;960,33;-675,64;-1,5;4,6887;10,16;10,202;10,102;1,597;M5;0,001651961798229;4,352933;-1,304309;-1,155222;-1,451e-05;2,242e-05;1,22e-06;112660;;0;1
119097;119098;0;0;0;GJ 1002;GJ 1002;GJ 1002/HYG 117957/MN 119098;;;;Cet;0,112155;-7,539302;-816,71;-1869,38;-42,0;4,6992;13,75;;;1,98;M5-5,5;6,08135001279e-05;4,65444;0,136696;-0,616283;-3,66e-05;-2,002e-05;-4,758e-05;117960;;0;0
119187;119188;0;0;0;GJ 1245B;GJ 1245B;GJ 1245B/HYG 119308/MN 119188;;;;Cyg;19,8985;44,414552;438,31;-583,77;0,0;4,717;14,01;;;1,98;m;4,82169793901e-05;1,606668;-2,961587;3,301168;-9,53e-06;-3,44e-06;1,326e-05;119312;GJ 1245;1;0
118953;118954;0;0;0;GJ 1245A;GJ 1245A;GJ 1245A/HYG 119307/MN 118954;;;;Cyg;19,898222;44,414534;438,31;-583,77;0,0;4,717;13,41;;;1,9;M5,5 V e;8,37915067438e-05;1,606452;-2,961705;3,301167;-9,53e-06;-3,44e-06;1,326e-05;119312;GJ 1245;1;0
119302;119303;0;0;0;Gl 412B;Gl 412B;Gl 412B/HYG 118722/MN 119303;;;;UMa;11,093507;43,521487;-4432,65;934,1;0,0;4,8323;14,4;;;2,09;M6  e;3,53508613362e-05;-3,405436;0,825166;3,32765;1,587e-05;9,743e-05;3,895e-05;54052;Gl 412;1;0
75575;75576;0;0;54211;Gl 412A;HIP 54211;Gl 412A/HIP 54211/HYG 54052/MN 75576;;;;UMa;11,091542;43,526777;-4410,79;943,32;68,8;4,848;8,82;8,858;8,788;1,491;M2Vvar;0,0060701580634104;-3,416483;0,828486;3,33921;6,453e-05;0,00010916;-1,034e-05;54052;Gl 412;1;1
